random
1.0,234567.0
2.0,356742.0
3.0,576234.0
4.0,465732.0
5.0,764235.0
6.0,543267.0
7.0,342675.0
8.0,572643.0
9.0,765432.0
10.0,574632.0
11.0,246357.0
12.0,273654.0
13.0,123456.0
14.0,186432.0
15.0,641382.0
16.0,864251.0
17.0,715342.0



KODEGRAFIK
1.0,UNDERSHIFT
2.0,UPPERSHIFT
3.0,TIGHT
4.0,OK
214,tight," saat ini Ia sedang mengalami tekanan untuk menyelesaikan berbagai macam tugas dengan berbagai macam peran.
Bisa juga ia memiliki banyak atasan, atau memiliki atasan yang sangat otoriter."
221,overshift1," terindikasi bahwa dirinya berusaha untuk mencapai semua tuntutan tugas yang diberikan kepadanya, ia berusaha menjadi seorang yang mampu bekerja dalam segala hal.
Seringkali profil ini muncul apabila sesorang sedang mengalami ""over promoted"", atau baru ditunjuk untuk menempati tempat kerja yang baru.
Atau bisa juga menunjukkan situasi kerja yang berlebih (become overloaded)."
222,overshift1," terindikasi bahwa dirinya berusaha untuk mencapai semua tuntutan tugas yang diberikan kepadanya, ia berusaha menjadi seorang yang mampu bekerja dalam segala hal.
Seringkali profil ini muncul apabila sesorang sedang mengalami ""over promoted"", atau baru ditunjuk untuk menempati tempat kerja yang baru.
Atau bisa juga menunjukkan situasi kerja yang berlebih (become overloaded)."
223,tight3," saat ini Ia ingin mengatakan, ""Saya rasa saya bisa mengerjakan lebih atau saya memberikan kontribusi lebih daripada sekarang, namun situasi sekarang tidak memungkinkan untuk melakukan hal tersebut""."
224,tight," saat ini Ia sedang mengalami tekanan untuk menyelesaikan berbagai macam tugas dengan berbagai macam peran.
Bisa juga ia memiliki banyak atasan, atau memiliki atasan yang sangat otoriter."
231,INVALID," menghasilkan data invalid. Ada beberapa kemungkinan; tidak memahami kata-kata yang dimaksud, tidak menyelesaikan jawaban seluruhnya, mencoba mengakali alat tes ini."
232,tight2," merasa dirinya saat ini sedang berada dalam kondisi penuh tekanan.
Terkadang juga profil seperti ini mengindikasikan sedang mengalami masalah pribadi atau masalah finansial, ia harus segera diprobing melalui wawancara mendalam."
233,tight3," saat ini Ia ingin mengatakan, ""Saya rasa saya bisa mengerjakan lebih atau saya memberikan kontribusi lebih daripada sekarang, namun situasi sekarang tidak memungkinkan untuk melakukan hal tersebut""."
234,tight2," merasa dirinya saat ini sedang berada dalam kondisi penuh tekanan.
Terkadang juga profil seperti ini mengindikasikan sedang mengalami masalah pribadi atau masalah finansial, ia harus segera diprobing melalui wawancara mendalam."
241,overshift1," terindikasi bahwa dirinya berusaha untuk mencapai semua tuntutan tugas yang diberikan kepadanya, ia berusaha menjadi seorang yang mampu bekerja dalam segala hal.
Seringkali profil ini muncul apabila sesorang sedang mengalami ""over promoted"", atau baru ditunjuk untuk menempati tempat kerja yang baru.
Atau bisa juga menunjukkan situasi kerja yang berlebih (become overloaded)."
242,overshift1," terindikasi bahwa dirinya berusaha untuk mencapai semua tuntutan tugas yang diberikan kepadanya, ia berusaha menjadi seorang yang mampu bekerja dalam segala hal.
Seringkali profil ini muncul apabila sesorang sedang mengalami ""over promoted"", atau baru ditunjuk untuk menempati tempat kerja yang baru.
Atau bisa juga menunjukkan situasi kerja yang berlebih (become overloaded)."
243,tight3," saat ini Ia ingin mengatakan, ""Saya rasa saya bisa mengerjakan lebih atau saya memberikan kontribusi lebih daripada sekarang, namun situasi sekarang tidak memungkinkan untuk melakukan hal tersebut""."
244,overshift1," terindikasi bahwa dirinya berusaha untuk mencapai semua tuntutan tugas yang diberikan kepadanya, ia berusaha menjadi seorang yang mampu bekerja dalam segala hal.
Seringkali profil ini muncul apabila sesorang sedang mengalami ""over promoted"", atau baru ditunjuk untuk menempati tempat kerja yang baru.
Atau bisa juga menunjukkan situasi kerja yang berlebih (become overloaded)."
311,tight1," mengindikasikan bahwa dirinya tidak memahami bagaimana harus bersikap agar berhasil dalam bekerja. Bisa juga dalam kondisi ""saya melihat tidak ada prospek masa depan di pekerjaan saat ini"". Mungkin juga ia baru mulai bekerja di tempat baru atau atasan baru"
312,tight1," mengindikasikan bahwa dirinya tidak memahami bagaimana harus bersikap agar berhasil dalam bekerja. Bisa juga dalam kondisi ""saya melihat tidak ada prospek masa depan di pekerjaan saat ini"". Mungkin juga ia baru mulai bekerja di tempat baru atau atasan baru"
313,tight3," saat ini Ia ingin mengatakan, ""Saya rasa saya bisa mengerjakan lebih atau saya memberikan kontribusi lebih daripada sekarang, namun situasi sekarang tidak memungkinkan untuk melakukan hal tersebut""."
314,tight1," mengindikasikan bahwa dirinya tidak memahami bagaimana harus bersikap agar berhasil dalam bekerja. Bisa juga dalam kondisi ""saya melihat tidak ada prospek masa depan di pekerjaan saat ini"". Mungkin juga ia baru mulai bekerja di tempat baru atau atasan baru"
321,tight1," mengindikasikan bahwa dirinya tidak memahami bagaimana harus bersikap agar berhasil dalam bekerja. Bisa juga dalam kondisi ""saya melihat tidak ada prospek masa depan di pekerjaan saat ini"". Mungkin juga ia baru mulai bekerja di tempat baru atau atasan baru"
322,tight1," mengindikasikan bahwa dirinya tidak memahami bagaimana harus bersikap agar berhasil dalam bekerja. Bisa juga dalam kondisi ""saya melihat tidak ada prospek masa depan di pekerjaan saat ini"". Mungkin juga ia baru mulai bekerja di tempat baru atau atasan baru"
323,tight3," saat ini Ia ingin mengatakan, ""Saya rasa saya bisa mengerjakan lebih atau saya memberikan kontribusi lebih daripada sekarang, namun situasi sekarang tidak memungkinkan untuk melakukan hal tersebut""."
324,tight1," mengindikasikan bahwa dirinya tidak memahami bagaimana harus bersikap agar berhasil dalam bekerja. Bisa juga dalam kondisi ""saya melihat tidak ada prospek masa depan di pekerjaan saat ini"". Mungkin juga ia baru mulai bekerja di tempat baru atau atasan baru"
331,tight1," mengindikasikan bahwa dirinya tidak memahami bagaimana harus bersikap agar berhasil dalam bekerja. Bisa juga dalam kondisi ""saya melihat tidak ada prospek masa depan di pekerjaan saat ini"". Mungkin juga ia baru mulai bekerja di tempat baru atau atasan baru"
332,tight1," mengindikasikan bahwa dirinya tidak memahami bagaimana harus bersikap agar berhasil dalam bekerja. Bisa juga dalam kondisi ""saya melihat tidak ada prospek masa depan di pekerjaan saat ini"". Mungkin juga ia baru mulai bekerja di tempat baru atau atasan baru"
333,tight3," saat ini Ia ingin mengatakan, ""Saya rasa saya bisa mengerjakan lebih atau saya memberikan kontribusi lebih daripada sekarang, namun situasi sekarang tidak memungkinkan untuk melakukan hal tersebut""."
334,tight1," mengindikasikan bahwa dirinya tidak memahami bagaimana harus bersikap agar berhasil dalam bekerja. Bisa juga dalam kondisi ""saya melihat tidak ada prospek masa depan di pekerjaan saat ini"". Mungkin juga ia baru mulai bekerja di tempat baru atau atasan baru"
341,tight1," mengindikasikan bahwa dirinya tidak memahami bagaimana harus bersikap agar berhasil dalam bekerja. Bisa juga dalam kondisi ""saya melihat tidak ada prospek masa depan di pekerjaan saat ini"". Mungkin juga ia baru mulai bekerja di tempat baru atau atasan baru"
342,tight1," mengindikasikan bahwa dirinya tidak memahami bagaimana harus bersikap agar berhasil dalam bekerja. Bisa juga dalam kondisi ""saya melihat tidak ada prospek masa depan di pekerjaan saat ini"". Mungkin juga ia baru mulai bekerja di tempat baru atau atasan baru"
343,tight3," saat ini Ia ingin mengatakan, ""Saya rasa saya bisa mengerjakan lebih atau saya memberikan kontribusi lebih daripada sekarang, namun situasi sekarang tidak memungkinkan untuk melakukan hal tersebut""."
344,tight1," mengindikasikan bahwa dirinya tidak memahami bagaimana harus bersikap agar berhasil dalam bekerja. Bisa juga dalam kondisi ""saya melihat tidak ada prospek masa depan di pekerjaan saat ini"". Mungkin juga ia baru mulai bekerja di tempat baru atau atasan baru"
411,undershift," mengindikasikan bahwa dirinya tidak memahami bagaimana harus bersikap agar berhasil dalam bekerja. Bisa juga dalam kondisi ""saya melihat tidak ada prospek masa depan di pekerjaan saat ini"". Mungkin juga ia baru mulai bekerja di tempat baru atau atasan baru"
412,," saat ini ia dituntut  untuk mampu melakukan berbagai tugas atau mencoba menjadi seorang yang bersikap positif dalam berbagai hal.
Hal ini juga bisa tampak pada orang-orang yang baru pertama kali bekerja di tempat baru."
413,tight3," saat ini Ia ingin mengatakan, ""Saya rasa saya bisa mengerjakan lebih atau saya memberikan kontribusi lebih daripada sekarang, namun situasi sekarang tidak memungkinkan untuk melakukan hal tersebut""."
414,," saat ini Ia sedang mengalami periode kehilangan semangat dan hilangnya penerimaan diri dalam lingkungan. Ia memerlukan bantuan untuk mendapatkan dukungan dan semangat, sebaiknya segera sadarkan dirinya, berbicaralah dengan keluarga, sahabat atau seseorang yang bisa memberikan pandangan positif agar ia mampu mengendalikan perasaannya."
421,undershift," saat ini Ia sedang mengalami periode kehilangan semangat dan hilangnya penerimaan diri dalam lingkungan. Ia memerlukan bantuan untuk mendapatkan dukungan dan semangat, sebaiknya segera sadarkan dirinya, berbicaralah dengan keluarga, sahabat atau seseorang yang bisa memberikan pandangan positif agar ia mampu mengendalikan perasaannya."
422,," saat ini ia dituntut  untuk mampu melakukan berbagai tugas atau mencoba menjadi seorang yang bersikap positif dalam berbagai hal.
Hal ini juga bisa tampak pada orang-orang yang baru pertama kali bekerja di tempat baru."
423,tight3," saat ini Ia ingin mengatakan, ""Saya rasa saya bisa mengerjakan lebih atau saya memberikan kontribusi lebih daripada sekarang, namun situasi sekarang tidak memungkinkan untuk melakukan hal tersebut""."
424,tight," saat ini Ia sedang mengalami tekanan untuk menyelesaikan berbagai macam tugas dengan berbagai macam peran.
Bisa juga ia memiliki banyak atasan, atau memiliki atasan yang sangat otoriter."
431,tight2," merasa dirinya saat ini sedang berada dalam kondisi penuh tekanan.
Terkadang juga profil seperti ini mengindikasikan sedang mengalami masalah pribadi atau masalah finansial, ia harus segera diprobing melalui wawancara mendalam."
432,tight2," merasa dirinya saat ini sedang berada dalam kondisi penuh tekanan.
Terkadang juga profil seperti ini mengindikasikan sedang mengalami masalah pribadi atau masalah finansial, ia harus segera diprobing melalui wawancara mendalam."
433,tight3," saat ini Ia ingin mengatakan, ""Saya rasa saya bisa mengerjakan lebih atau saya memberikan kontribusi lebih daripada sekarang, namun situasi sekarang tidak memungkinkan untuk melakukan hal tersebut""."
434,tight2," merasa dirinya saat ini sedang berada dalam kondisi penuh tekanan.
Terkadang juga profil seperti ini mengindikasikan sedang mengalami masalah pribadi atau masalah finansial, ia harus segera diprobing melalui wawancara mendalam."
441,undershift," saat ini Ia sedang mengalami periode kehilangan semangat dan hilangnya penerimaan diri dalam lingkungan. Ia memerlukan bantuan untuk mendapatkan dukungan dan semangat, sebaiknya segera sadarkan dirinya, berbicaralah dengan keluarga, sahabat atau seseorang yang bisa memberikan pandangan positif agar ia mampu mengendalikan perasaannya."
442,overshift1," terindikasi bahwa dirinya berusaha untuk mencapai semua tuntutan tugas yang diberikan kepadanya, ia berusaha menjadi seorang yang mampu bekerja dalam segala hal.
Seringkali profil ini muncul apabila sesorang sedang mengalami ""over promoted"", atau baru ditunjuk untuk menempati tempat kerja yang baru.
Atau bisa juga menunjukkan situasi kerja yang berlebih (become overloaded)."
443,tight3," saat ini Ia ingin mengatakan, ""Saya rasa saya bisa mengerjakan lebih atau saya memberikan kontribusi lebih daripada sekarang, namun situasi sekarang tidak memungkinkan untuk melakukan hal tersebut""."
444,,ok













































































































































































































































































































































































































































































































































































































































































































































































































































































































































